HostName,TimeStamp,AM,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,AM,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,AM,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
bigdata-proj-m,0,AM,0.00,32.00,41434.00,0.00,9601.00,0.00,0.00,0.00,0.00,AM,10189692,5215012,33.85,176348,1034668,7629908,49.53,4374288,611160,548,AM,0,0,0.00,0,0.00
bigdata-proj-m,1,AM,0.00,0.00,10432.00,0.00,2667.00,0.00,0.00,0.00,0.00,AM,10159544,5245160,34.05,176348,1034680,7682800,49.87,4404372,611172,568,AM,0,0,0.00,0,0.00
bigdata-proj-m,2,AM,0.00,0.00,29514.00,0.00,2612.00,0.00,0.00,0.00,0.00,AM,10053536,5351168,34.74,176348,1034688,7772152,50.45,4509440,611180,576,AM,0,0,0.00,0,0.00
bigdata-proj-m,3,AM,0.00,404.00,27567.00,0.00,2420.00,0.00,0.00,0.00,0.00,AM,9952644,5452060,35.39,176356,1034688,7999436,51.93,4610224,611180,376,AM,0,0,0.00,0,0.00
bigdata-proj-m,4,AM,0.00,0.00,6196.00,0.00,1453.00,0.00,0.00,0.00,0.00,AM,9934200,5470504,35.51,176356,1035664,8014516,52.03,4627488,612156,1356,AM,0,0,0.00,0,0.00
bigdata-proj-m,5,AM,0.00,412.00,29069.00,0.00,4961.00,0.00,0.00,0.00,0.00,AM,9838792,5565912,36.13,176356,1035960,8055608,52.29,4724640,612452,1388,AM,0,0,0.00,0,0.00
bigdata-proj-m,6,AM,0.00,128.00,3217.00,0.00,2018.00,0.00,0.00,0.00,0.00,AM,9832408,5572296,36.17,176356,1036120,8082484,52.47,4727504,612612,1684,AM,0,0,0.00,0,0.00
bigdata-proj-m,7,AM,0.00,0.00,1664.00,0.00,1486.00,0.00,0.00,0.00,0.00,AM,9832452,5572252,36.17,176356,1036124,8082484,52.47,4727480,612616,1688,AM,0,0,0.00,0,0.00
bigdata-proj-m,8,AM,0.00,0.00,1669.00,0.00,1460.00,0.00,0.00,0.00,0.00,AM,9832172,5572532,36.17,176356,1036124,8097632,52.57,4727700,612616,1688,AM,0,0,0.00,0,0.00
bigdata-proj-m,9,AM,184.00,8.00,2182.00,0.00,1474.00,0.00,0.00,0.00,0.00,AM,9831464,5573240,36.18,176356,1036172,8136804,52.82,4729080,612648,1736,AM,0,0,0.00,0,0.00
bigdata-proj-m,10,AM,0.00,208.00,15117.00,0.00,3165.00,0.00,0.00,0.00,0.00,AM,9786004,5618700,36.47,176356,1036380,8212228,53.31,4774476,612852,1764,AM,0,0,0.00,0,0.00
