HostName,TimeStamp,Device:,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
bigdata-proj-m,0,sda,0.00,13.81,10.75,9.67,145.09,227.52,36.49,0.17,8.42,2.64,14.85,0.86,1.76
bigdata-proj-m,1,sda,0.00,0.00,0.00,1.00,0.00,32.00,64.00,0.00,4.00,0.00,4.00,4.00,0.40
bigdata-proj-m,2,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,3,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,4,sda,0.00,57.00,0.00,43.00,0.00,404.00,18.79,0.22,5.21,0.00,5.21,0.37,1.60
bigdata-proj-m,5,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,6,sda,0.00,0.00,0.00,25.00,0.00,412.00,32.96,0.02,0.64,0.00,0.64,0.64,1.60
bigdata-proj-m,7,sda,0.00,27.00,0.00,5.00,0.00,128.00,51.20,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,9,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,10,sda,0.00,0.00,3.00,3.00,184.00,8.00,64.00,0.01,2.00,4.00,0.00,0.67,0.40
bigdata-proj-m,11,sda,0.00,23.00,0.00,19.00,0.00,208.00,21.89,0.02,0.84,0.00,0.84,0.84,1.60
bigdata-proj-m,12,sda,0.00,0.00,0.00,5.00,0.00,108.00,43.20,0.01,1.60,0.00,1.60,1.60,0.80
bigdata-proj-m,13,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,14,sda,0.00,0.00,0.00,8.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,15,sda,0.00,0.00,0.00,12.00,0.00,160.00,26.67,0.00,0.33,0.00,0.33,0.33,0.40
bigdata-proj-m,16,sda,0.00,38.00,0.00,14.00,0.00,188.00,26.86,0.01,0.57,0.00,0.57,0.57,0.80
