HostName,TimeStamp,AM,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
bigdata-proj-m,0,AM,eth0,40.00,42.00,6.31,4.45,0.00,0.00,0.00,0.00
bigdata-proj-m,1,AM,eth0,9.00,5.00,1.66,1.70,0.00,0.00,0.00,0.00
bigdata-proj-m,2,AM,eth0,19.00,12.00,3.00,1.46,0.00,0.00,0.00,0.00
bigdata-proj-m,3,AM,eth0,19.00,10.00,3.79,1.58,0.00,0.00,0.00,0.00
bigdata-proj-m,4,AM,eth0,10.00,6.00,1.72,3.10,0.00,0.00,0.00,0.00
bigdata-proj-m,5,AM,eth0,10.00,5.00,2.17,0.52,0.00,0.00,0.00,0.00
bigdata-proj-m,6,AM,eth0,45.00,42.00,6.59,271.15,0.00,0.00,0.00,0.00
bigdata-proj-m,7,AM,eth0,9.00,5.00,1.80,2.93,0.00,0.00,0.00,0.00
bigdata-proj-m,8,AM,eth0,29.00,26.00,4.28,23.14,0.00,0.00,0.00,0.00
bigdata-proj-m,9,AM,eth0,14.00,10.00,3.35,12.55,0.00,0.00,0.00,0.00
bigdata-proj-m,10,AM,eth0,8.00,4.00,1.69,0.42,0.00,0.00,0.00,0.00
bigdata-proj-m,11,AM,eth0,9.90,4.95,2.24,0.52,0.00,0.00,0.00,0.00
bigdata-proj-m,12,AM,eth0,14.00,7.00,3.40,0.73,0.00,0.00,0.00,0.00
bigdata-proj-m,13,AM,eth0,13.00,7.00,2.18,0.70,0.00,0.00,0.00,0.00
bigdata-proj-m,14,AM,eth0,10.00,5.00,2.26,0.53,0.00,0.00,0.00,0.00
bigdata-proj-m,15,AM,eth0,14.00,7.00,3.40,1.77,0.00,0.00,0.00,0.00
bigdata-proj-m,16,AM,eth0,9.00,6.00,1.75,0.63,0.00,0.00,0.00,0.00
bigdata-proj-m,17,AM,eth0,10.00,5.00,2.26,0.44,0.00,0.00,0.00,0.00
bigdata-proj-m,18,AM,eth0,34.00,20.00,5.46,2.09,0.00,0.00,0.00,0.00
bigdata-proj-m,19,AM,eth0,37.00,25.00,6.79,4.09,0.00,0.00,0.00,0.00
bigdata-proj-m,20,AM,eth0,49.00,38.00,6.71,56.71,0.00,0.00,0.00,0.00
bigdata-proj-m,21,AM,eth0,36.00,27.00,12.09,7.21,0.00,0.00,0.00,0.00
bigdata-proj-m,22,AM,eth0,28.00,21.00,3.99,4.11,0.00,0.00,0.00,0.00
bigdata-proj-m,23,AM,eth0,100.00,97.00,19.46,55.78,0.00,0.00,0.00,0.00
bigdata-proj-m,24,AM,eth0,32.00,27.00,5.90,43.67,0.00,0.00,0.00,0.00
bigdata-proj-m,25,AM,eth0,41.00,39.00,65.34,20.15,0.00,0.00,0.00,0.00
