HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,0,all,33.75,0.00,7.30,0.00,0.00,58.94
bigdata-proj-m,0,0,34.65,0.00,9.90,0.00,0.00,55.45
bigdata-proj-m,0,1,59.00,0.00,12.00,0.00,0.00,29.00
bigdata-proj-m,0,2,20.83,0.00,2.08,0.00,0.00,77.08
bigdata-proj-m,0,3,20.00,0.00,5.00,0.00,0.00,75.00
bigdata-proj-m,1,all,54.66,0.00,2.52,0.00,0.00,42.82
bigdata-proj-m,1,0,36.63,0.00,1.98,0.00,0.00,61.39
bigdata-proj-m,1,1,57.58,0.00,3.03,0.00,0.00,39.39
bigdata-proj-m,1,2,85.15,0.00,2.97,0.00,0.00,11.88
bigdata-proj-m,1,3,39.58,0.00,2.08,0.00,0.00,58.33
bigdata-proj-m,2,all,52.63,0.00,4.26,0.00,0.00,43.11
bigdata-proj-m,2,0,63.64,0.00,6.06,0.00,0.00,30.30
bigdata-proj-m,2,1,43.43,0.00,2.02,0.00,0.00,54.55
bigdata-proj-m,2,2,63.73,0.00,4.90,0.00,0.00,31.37
bigdata-proj-m,2,3,38.78,0.00,3.06,0.00,0.00,58.16
bigdata-proj-m,3,all,55.16,0.00,4.53,0.00,0.00,40.30
bigdata-proj-m,3,0,62.24,0.00,2.04,0.00,0.00,35.71
bigdata-proj-m,3,1,49.00,0.00,4.00,0.00,0.00,47.00
bigdata-proj-m,3,2,27.00,0.00,4.00,0.00,0.00,69.00
bigdata-proj-m,3,3,82.18,0.00,8.91,0.00,0.00,8.91
bigdata-proj-m,4,all,40.94,0.00,1.99,0.00,0.00,57.07
bigdata-proj-m,4,0,91.09,0.00,1.98,0.00,0.00,6.93
bigdata-proj-m,4,1,24.24,0.00,0.00,0.00,0.00,75.76
bigdata-proj-m,4,2,23.53,0.00,1.96,0.00,0.00,74.51
bigdata-proj-m,4,3,24.75,0.00,2.97,0.00,0.00,72.28
bigdata-proj-m,5,all,48.11,0.00,6.30,0.00,0.00,45.59
bigdata-proj-m,5,0,46.46,0.00,3.03,0.00,0.00,50.51
bigdata-proj-m,5,1,39.00,0.00,9.00,0.00,0.00,52.00
bigdata-proj-m,5,2,68.00,0.00,12.00,0.00,0.00,20.00
bigdata-proj-m,5,3,38.78,0.00,2.04,0.00,0.00,59.18
bigdata-proj-m,6,all,15.25,0.00,4.25,0.25,0.00,80.25
bigdata-proj-m,6,0,18.81,0.00,5.94,0.00,0.00,75.25
bigdata-proj-m,6,1,14.29,0.00,2.04,0.00,0.00,83.67
bigdata-proj-m,6,2,10.20,0.00,3.06,0.00,0.00,86.73
bigdata-proj-m,6,3,18.00,0.00,4.00,0.00,0.00,78.00
bigdata-proj-m,7,all,0.76,0.00,0.76,0.00,0.00,98.48
bigdata-proj-m,7,0,1.02,0.00,1.02,0.00,0.00,97.96
bigdata-proj-m,7,1,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,7,2,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,7,3,0.00,0.00,2.02,0.00,0.00,97.98
bigdata-proj-m,8,all,1.25,0.00,1.50,0.00,0.00,97.24
bigdata-proj-m,8,0,1.98,0.00,1.98,0.99,0.00,95.05
bigdata-proj-m,8,1,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,8,2,2.00,0.00,1.00,0.00,0.00,97.00
bigdata-proj-m,8,3,1.02,0.00,0.00,0.00,0.00,98.98
bigdata-proj-m,9,all,0.51,0.00,0.51,0.00,0.00,98.98
bigdata-proj-m,9,0,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,9,1,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,9,2,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,9,3,1.01,0.00,2.02,0.00,0.00,96.97
bigdata-proj-m,10,all,0.25,0.00,1.26,0.00,0.00,98.49
bigdata-proj-m,10,0,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,10,1,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,10,2,0.00,0.00,1.02,0.00,0.00,98.98
bigdata-proj-m,10,3,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,11,all,2.01,0.00,2.76,0.00,0.00,95.24
bigdata-proj-m,11,0,2.00,0.00,1.00,0.00,0.00,97.00
bigdata-proj-m,11,1,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,11,2,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,11,3,5.00,0.00,8.00,0.00,0.00,87.00
bigdata-proj-m,12,all,1.26,0.00,2.02,0.00,0.00,96.73
bigdata-proj-m,12,0,2.00,0.00,1.00,0.00,0.00,97.00
bigdata-proj-m,12,1,1.03,0.00,3.09,0.00,0.00,95.88
bigdata-proj-m,12,2,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,12,3,0.00,0.00,2.00,0.00,0.00,98.00
bigdata-proj-m,13,all,0.25,0.00,1.27,0.00,0.00,98.48
bigdata-proj-m,13,0,0.00,0.00,2.06,0.00,0.00,97.94
bigdata-proj-m,13,1,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,13,2,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,13,3,1.01,0.00,0.00,0.00,0.00,98.99
bigdata-proj-m,14,all,0.76,0.00,0.76,0.00,0.00,98.48
bigdata-proj-m,14,0,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,14,1,2.02,0.00,0.00,0.00,0.00,97.98
bigdata-proj-m,14,2,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,14,3,0.00,0.00,2.02,0.00,0.00,97.98
bigdata-proj-m,15,all,0.76,0.00,1.01,0.25,0.00,97.98
bigdata-proj-m,15,0,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,15,1,0.00,0.00,1.02,0.00,0.00,98.98
bigdata-proj-m,15,2,1.02,0.00,1.02,0.00,0.00,97.96
bigdata-proj-m,15,3,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,16,all,0.76,0.00,0.76,0.00,0.00,98.48
bigdata-proj-m,16,0,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,16,1,1.01,0.00,1.01,0.00,0.00,97.98
bigdata-proj-m,16,2,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,16,3,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,17,all,1.77,0.00,2.53,0.00,0.00,95.70
bigdata-proj-m,17,0,1.02,0.00,1.02,0.00,0.00,97.96
bigdata-proj-m,17,1,5.05,0.00,7.07,0.00,0.00,87.88
bigdata-proj-m,17,2,1.02,0.00,0.00,0.00,0.00,98.98
bigdata-proj-m,17,3,0.00,0.00,2.00,0.00,0.00,98.00
bigdata-proj-m,18,all,1.76,0.00,2.26,0.00,0.00,95.98
bigdata-proj-m,18,0,2.02,0.00,1.01,0.00,0.00,96.97
bigdata-proj-m,18,1,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,18,2,0.99,0.00,1.98,0.99,0.00,96.04
bigdata-proj-m,18,3,3.00,0.00,4.00,0.00,0.00,93.00
bigdata-proj-m,19,all,19.70,0.00,2.53,0.00,0.00,77.78
bigdata-proj-m,19,0,22.22,0.00,2.02,0.00,0.00,75.76
bigdata-proj-m,19,1,8.33,0.00,3.12,0.00,0.00,88.54
bigdata-proj-m,19,2,28.00,0.00,3.00,0.00,0.00,69.00
bigdata-proj-m,19,3,20.00,0.00,1.00,0.00,0.00,79.00
bigdata-proj-m,20,all,50.25,0.00,4.29,0.00,0.00,45.45
bigdata-proj-m,20,0,63.37,0.00,2.97,0.00,0.00,33.66
bigdata-proj-m,20,1,58.59,0.00,5.05,0.00,0.00,36.36
bigdata-proj-m,20,2,39.60,0.00,3.96,0.00,0.00,56.44
bigdata-proj-m,20,3,39.18,0.00,6.19,0.00,0.00,54.64
bigdata-proj-m,21,all,26.82,0.00,2.51,0.00,0.00,70.68
bigdata-proj-m,21,0,23.23,0.00,2.02,0.00,0.00,74.75
bigdata-proj-m,21,1,26.80,0.00,2.06,0.00,0.00,71.13
bigdata-proj-m,21,2,36.63,0.00,3.96,0.00,0.00,59.41
bigdata-proj-m,21,3,20.00,0.00,1.00,0.00,0.00,79.00
bigdata-proj-m,22,all,2.28,0.00,0.51,0.00,0.00,97.21
bigdata-proj-m,22,0,3.06,0.00,0.00,0.00,0.00,96.94
bigdata-proj-m,22,1,2.04,0.00,1.02,0.00,0.00,96.94
bigdata-proj-m,22,2,2.00,0.00,1.00,0.00,0.00,97.00
bigdata-proj-m,22,3,2.04,0.00,1.02,0.00,0.00,96.94
bigdata-proj-m,23,all,9.95,0.00,3.98,0.25,0.00,85.82
bigdata-proj-m,23,0,12.75,0.00,9.80,0.00,0.00,77.45
bigdata-proj-m,23,1,9.80,0.00,1.96,0.00,0.00,88.24
bigdata-proj-m,23,2,11.11,0.00,1.01,0.00,0.00,87.88
bigdata-proj-m,23,3,7.07,0.00,2.02,0.00,0.00,90.91
bigdata-proj-m,24,all,2.27,0.00,1.26,0.00,0.00,96.46
bigdata-proj-m,24,0,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,24,1,5.00,0.00,3.00,0.00,0.00,92.00
bigdata-proj-m,24,2,3.00,0.00,0.00,0.00,0.00,97.00
bigdata-proj-m,24,3,0.99,0.00,2.97,0.00,0.00,96.04
bigdata-proj-m,25,all,7.34,0.00,1.52,0.25,0.00,90.89
bigdata-proj-m,25,0,7.92,0.00,2.97,0.00,0.00,89.11
bigdata-proj-m,25,1,6.12,0.00,1.02,1.02,0.00,91.84
bigdata-proj-m,25,2,6.12,0.00,1.02,0.00,0.00,92.86
bigdata-proj-m,25,3,8.25,0.00,1.03,0.00,0.00,90.72
bigdata-proj-m,26,all,1.52,0.00,1.26,0.00,0.00,97.22
bigdata-proj-m,26,0,1.02,0.00,1.02,0.00,0.00,97.96
bigdata-proj-m,26,1,2.00,0.00,2.00,0.00,0.00,96.00
bigdata-proj-m,26,2,3.03,0.00,2.02,0.00,0.00,94.95
bigdata-proj-m,26,3,1.01,0.00,0.00,0.00,0.00,98.99
bigdata-proj-m,27,all,2.78,0.00,1.01,0.00,0.00,96.21
bigdata-proj-m,27,0,2.02,0.00,1.01,0.00,0.00,96.97
bigdata-proj-m,27,1,4.08,0.00,0.00,0.00,0.00,95.92
bigdata-proj-m,27,2,2.02,0.00,1.01,0.00,0.00,96.97
bigdata-proj-m,27,3,4.00,0.00,1.00,0.00,0.00,95.00
bigdata-proj-m,28,all,7.81,0.00,1.26,0.00,0.00,90.93
bigdata-proj-m,28,0,7.07,0.00,2.02,0.00,0.00,90.91
bigdata-proj-m,28,1,8.16,0.00,2.04,0.00,0.00,89.80
bigdata-proj-m,28,2,7.07,0.00,1.01,0.00,0.00,91.92
