,budget,popularity,revenue,runtime,vote_average,vote_count
0,0.07894736842105263,0.040082147524713695,0.13398805987271675,0.09236031927023945,0.8105263157894737,0.38336656223298204
1,0.17105263157894737,0.031074782657360796,0.09426131274935869,0.11858608893956671,0.7263157894736842,0.1696097977784107
2,0.0,0.021389345359411716,0.0,0.11516533637400228,0.6842105263157894,0.004343491882654514
3,0.042105263157894736,0.007044853550163569,0.02921562984407631,0.14481185860889395,0.6421052631578946,0.00021361435488464814
4,0.0,0.015315432131056704,0.02746767215883719,0.12086659064994298,0.6,0.010111079464540016
5,0.15789473684210525,0.03273580850760392,0.06723069053984893,0.19384264538198404,0.8105263157894737,0.13208487610367417
6,0.15263157894736842,0.012191621203079326,0.0,0.14481185860889395,0.6526315789473685,0.007832526345770436
7,0.0,0.00467340556948915,0.0,0.11060433295324971,0.5684210526315789,0.0009968669894616917
8,0.09210526315789473,0.009551010057320942,0.023081412066477573,0.12086659064994298,0.5789473684210527,0.010182284249501568
9,0.15263157894736842,0.026819871990825833,0.12632655826367598,0.14823261117445838,0.6947368421052631,0.08281116491028197
10,0.1631578947368421,0.0115362032429848,0.038694708374588764,0.12086659064994298,0.6842105263157894,0.011962403873540303
11,0.0,0.009914035024399536,0.0,0.10034207525655645,0.6,0.012745656508117344
12,0.0,0.02217079582124656,0.004070468476422495,0.08893956670467504,0.7473684210526315,0.027912275704927374
13,0.11578947368421053,0.009296062787094222,0.004907437709244168,0.21892816419612315,0.7473684210526315,0.002919396183423526
14,0.2578947368421053,0.013300691144916717,0.0035930586242667677,0.13568985176738882,0.6,0.007547707205924238
15,0.1368421052631579,0.018511624850297472,0.04164771486609366,0.20296465222348917,0.8210526315789473,0.09342067786955284
16,0.04342105263157895,0.019490240257573087,0.04842241412185948,0.15507411630558723,0.7578947368421053,0.023711193392195958
17,0.010526315789473684,0.016482708152993783,0.001542343560918487,0.11174458380843785,0.6842105263157894,0.0361720307604671
18,0.07894736842105263,0.014982873709811186,0.07617940912902113,0.10262257696693272,0.6421052631578946,0.07811164910281972
19,0.15789473684210525,0.013398280897753393,0.012708592788773326,0.11744583808437857,0.5684210526315789,0.01374252349757904
20,0.07960526315789473,0.02313680268140672,0.041285173382086905,0.11972633979475485,0.6736842105263158,0.019510111079464543
21,0.0,0.019542541161253212,0.0,0.14139110604332955,0.6842105263157894,0.011962403873540303
22,0.13157894736842105,0.020207650697618137,0.010869243715174257,0.15051311288483465,0.631578947368421,0.02584733694104244
23,0.0,0.02215684294692888,0.0,0.1265678449258837,0.6631578947368421,0.007974935915693534
24,0.009473684210526316,0.01886713364015166,0.017862490542730387,0.12770809578107184,0.7473684210526315,0.023782398177157507
25,0.0,0.0033669569780225878,0.0,0.1402508551881414,0.7368421052631579,0.00014240956992309876
26,0.031578947368421054,0.015852078052221847,0.009827956643992221,0.11402508551881414,0.6947368421052631,0.004272287097692965
27,0.0,0.00406566921484862,0.0,0.11858608893956671,0.7789473684210526,0.0003560239248077469
28,0.04736842105263158,0.017936329522068292,0.0006236129025097795,0.12314709236031927,0.7999999999999999,0.01972372543434919
30,0.0,0.01731332701694378,0.06456321882914598,0.112884834663626,0.6736842105263158,0.015522643121617774
31,0.07763157894736843,0.022456779515142085,0.06056029926173893,0.14709236031927025,0.7789473684210526,0.17366847052121903
33,0.07894736842105263,0.0263061198157921,0.09115426559141843,0.10148232611174458,0.631578947368421,0.05162346909712333
35,0.02894736842105263,0.012582572010640055,0.014119127668975719,0.13911060433295325,0.7684210526315789,0.022714326402734266
37,0.0,0.01420164243175932,0.0,0.11516533637400228,0.6421052631578946,0.008402164625462831
38,0.031578947368421054,0.018045848352293215,0.0,0.11060433295324971,0.7263157894736842,0.05675021361435489
40,0.0,0.00832688141514402,0.0,0.11858608893956671,0.7263157894736842,0.001352890914269439
41,0.02631578947368421,0.018040710319114046,0.0,0.13568985176738882,0.6947368421052631,0.0034890344631159217
43,0.04736842105263158,0.019850013998537603,0.04382978846104897,0.11516533637400228,0.5684210526315789,0.029977214468812307
44,0.05263157894736842,0.019079844195399705,0.007634426305855673,0.12086659064994298,0.7052631578947368,0.010395898604386215
45,0.02631578947368421,0.00818910796876251,0.008455676188315194,0.1322690992018244,0.6842105263157894,0.0004984334947308461
46,0.0868421052631579,0.03370844202413593,0.11740170654439762,0.14481185860889395,0.8526315789473683,0.4189689547137568
47,0.14473684210526316,0.024251828942546374,0.12413346731411203,0.09236031927023945,0.7052631578947368,0.10524067217317004
49,0.015789473684210527,0.029772332343401944,0.008372259792218839,0.12086659064994298,0.8526315789473683,0.23518940472799774
51,0.039473684210526314,0.029035633730455375,0.0024031864786404336,0.10832383124287344,0.7052631578947368,0.008117345485616635
53,0.0,0.010923071314220115,0.0,0.11402508551881414,0.5473684210526316,0.0007120478496154942
56,0.0,0.0153689184536964,0.006283855232509947,0.11744583808437857,0.6631578947368421,0.0005696382796923955
